plan_type,contract_type,autopay,is_promo_user,add_on_count,tenure_months,monthly_usage_gb,avg_latency_ms,support_tickets_30d,discount_pct,payment_failures_90d,downtime_hours_30d,churned
Basic,Annual,Yes,Yes,1,4,166.55,179.3,0,2.5,0,1.43,0
Standard,Monthly,No,No,2,17,99.14,170.9,2,22.1,0,2.27,1
Pro,Monthly,No,No,2,14,163.41,138.5,0,10.5,0,3.7,0
Standard,Monthly,Yes,Yes,1,22,112.3,151.5,0,1.4,0,2.33,1
Standard,Monthly,Yes,No,3,36,186.3,149.3,5,9.8,0,2.51,0
Pro,Monthly,Yes,No,1,36,192.45,152.4,0,13.0,0,1.37,0
Basic,Monthly,No,No,0,11,199.48,185.5,3,23.9,0,2.9,0
Pro,Monthly,No,No,1,27,158.37,181.8,2,14.7,0,0.77,0
Standard,Annual,Yes,Yes,2,12,169.38,172.7,1,2.6,0,2.36,0
Basic,Annual,No,No,0,18,200.11,121.3,1,19.3,0,1.05,0
Basic,Monthly,Yes,No,1,30,82.6,228.3,0,8.2,0,0.8,1
Pro,Monthly,Yes,No,2,10,67.89,176.0,1,3.8,0,3.92,1
Basic,Monthly,Yes,No,1,10,84.1,151.8,1,17.8,0,2.32,1
Basic,Monthly,Yes,Yes,1,9,186.75,119.6,0,6.6,0,1.12,0
Basic,Monthly,No,No,0,30,113.11,211.6,2,6.8,1,3.52,1
Basic,Monthly,Yes,No,1,10,141.37,121.6,0,0.9,0,2.58,0
Basic,Monthly,No,No,1,32,123.76,119.1,2,9.5,1,2.9,0
Pro,Monthly,Yes,No,1,23,93.28,212.7,1,7.5,0,2.03,1
Standard,Monthly,No,Yes,0,7,155.11,180.0,0,0.8,0,1.21,1
Standard,Monthly,Yes,No,0,14,143.68,217.8,2,16.5,0,2.28,1
Standard,Monthly,No,No,4,25,118.46,197.0,0,6.4,0,1.02,0
Basic,Monthly,Yes,Yes,1,6,164.59,166.2,0,7.8,0,2.79,0
Basic,Monthly,No,No,1,17,114.22,114.3,0,5.7,0,1.23,0
Basic,Monthly,Yes,No,1,21,99.97,197.3,1,6.6,0,0.66,1
Pro,Monthly,No,No,2,13,123.85,129.8,1,4.2,0,1.3,0
Standard,Annual,Yes,Yes,2,11,130.72,218.6,0,13.7,0,2.4,0
Standard,Monthly,Yes,No,4,22,194.96,166.2,2,10.7,0,0.4,0
Standard,Monthly,Yes,No,0,36,79.98,204.1,2,15.8,0,2.51,1
Basic,Monthly,Yes,No,0,19,164.57,141.9,0,8.4,1,1.12,0
Basic,Annual,Yes,Yes,2,18,161.7,128.8,0,16.6,1,1.71,0
Standard,Monthly,Yes,Yes,1,12,170.47,264.8,0,2.3,0,1.9,1
Standard,Monthly,Yes,No,1,25,54.48,217.2,1,3.7,0,0.46,0
Basic,Monthly,Yes,No,0,26,149.31,136.2,0,26.8,1,0.59,0
Standard,Monthly,Yes,No,2,35,164.25,163.2,0,11.1,1,3.44,0
Standard,Monthly,No,Yes,1,24,49.57,142.5,0,29.3,0,0.67,1
Pro,Monthly,No,Yes,2,16,148.2,124.5,0,7.3,1,2.88,0
Pro,Monthly,No,No,0,28,150.25,248.3,1,15.7,0,0.82,0
Basic,Annual,No,No,0,23,183.29,184.7,0,27.1,0,2.7,0
Basic,Monthly,No,No,3,46,68.23,185.5,1,15.0,1,1.93,1
Basic,Monthly,No,No,2,64,184.5,150.4,2,7.6,0,0.42,0
Standard,Monthly,Yes,No,2,16,68.36,154.8,3,3.1,0,2.37,1
Basic,Monthly,Yes,Yes,0,15,58.74,209.8,1,4.9,1,0.24,1
Standard,Monthly,Yes,No,0,11,92.81,200.2,1,9.4,0,0.95,1
Basic,Monthly,No,No,2,12,183.33,168.2,2,16.6,1,3.55,0
Standard,Monthly,No,No,2,11,61.96,142.0,1,1.5,1,3.63,1
Basic,Monthly,No,Yes,3,4,130.31,186.4,2,8.2,1,1.64,1
Basic,Monthly,No,No,0,18,161.62,117.2,0,6.7,1,5.23,1
Basic,Monthly,Yes,No,2,28,215.5,168.4,0,8.0,0,0.71,0
Standard,Monthly,Yes,No,0,15,38.75,212.1,0,13.0,0,2.86,1
Basic,Annual,No,No,2,44,171.58,169.4,2,22.1,0,1.27,0
Basic,Monthly,No,No,2,30,91.77,142.3,1,12.1,0,2.48,1
Standard,Monthly,No,No,2,20,157.79,162.7,0,19.0,0,0.71,0
Basic,Monthly,No,No,1,29,178.13,185.5,0,12.6,0,1.54,0
Standard,Monthly,Yes,No,0,18,172.5,136.4,3,28.2,1,2.35,0
Pro,Monthly,No,No,1,24,92.14,157.5,1,14.6,0,0.86,0
Standard,Monthly,Yes,No,2,9,151.29,224.5,0,6.8,0,4.87,1
Pro,Annual,No,No,1,11,62.95,102.1,1,17.3,1,1.29,0
Pro,Monthly,Yes,Yes,1,8,128.14,192.7,2,10.2,0,3.29,1
Pro,Monthly,No,No,2,24,86.2,154.9,3,6.2,1,2.03,0
Basic,Monthly,No,Yes,1,28,73.68,154.8,0,7.8,0,4.35,0
Standard,Monthly,No,No,3,15,56.89,227.1,1,16.9,1,2.23,1
Standard,Monthly,No,No,0,15,116.48,173.4,0,5.1,0,3.68,1
Pro,Monthly,Yes,Yes,2,11,19.54,114.9,0,7.4,1,0.76,0
Basic,Annual,Yes,No,1,17,202.51,57.5,0,14.6,0,0.72,0
Standard,Monthly,No,No,1,15,118.72,101.7,0,15.0,0,3.14,1
Standard,Monthly,Yes,No,1,7,98.6,94.1,1,3.3,0,0.71,0
Standard,Annual,Yes,Yes,0,11,123.27,158.2,2,6.9,0,1.69,1
Basic,Monthly,No,Yes,1,31,109.36,220.5,0,16.1,1,1.41,0
Basic,Monthly,Yes,No,1,20,134.2,73.1,4,12.1,0,2.28,0
Basic,Monthly,No,Yes,1,5,168.55,130.1,2,6.3,0,1.24,1
Basic,Monthly,Yes,No,3,28,93.55,165.8,2,2.5,0,1.2,1
Pro,Monthly,No,Yes,1,24,172.17,170.5,1,15.5,0,3.01,0
Basic,Monthly,No,Yes,0,19,202.1,134.9,1,3.3,1,2.03,0
Basic,Monthly,No,No,1,12,96.12,220.3,1,16.2,0,1.49,1
Basic,Monthly,No,Yes,0,20,36.01,166.6,1,6.9,0,1.38,1
Standard,Monthly,No,No,0,25,149.69,122.1,3,13.4,0,1.2,0
Basic,Monthly,Yes,No,0,10,184.1,187.4,1,9.5,0,3.55,1
Pro,Monthly,No,Yes,0,27,103.26,104.8,1,5.3,0,0.84,0
Standard,Monthly,No,No,1,51,110.77,163.4,2,12.9,0,1.76,0
Standard,Annual,Yes,No,2,19,206.41,94.2,1,30.1,0,3.1,0
Pro,Monthly,No,Yes,4,27,109.14,171.8,0,13.9,0,10.59,0
Standard,Monthly,Yes,No,1,14,99.74,194.0,3,14.3,0,0.64,1
Standard,Monthly,No,Yes,0,24,183.65,236.0,1,22.5,1,0.38,0
Basic,Monthly,No,No,1,10,89.4,215.3,2,8.7,0,3.48,1
Pro,Annual,Yes,No,0,58,80.59,195.4,2,16.4,0,3.42,0
Standard,Monthly,Yes,Yes,2,17,77.76,203.4,1,5.5,1,1.19,1
Standard,Monthly,No,No,0,11,203.25,172.5,0,5.5,0,1.53,0
Basic,Monthly,Yes,Yes,2,22,146.05,140.4,1,24.7,0,9.87,1
Basic,Monthly,Yes,No,0,24,143.89,76.2,1,18.7,0,2.32,0
Standard,Monthly,Yes,Yes,1,17,231.61,73.9,2,5.8,1,0.34,0
Standard,Monthly,Yes,No,0,21,125.55,194.5,1,17.2,0,2.14,0
Basic,Monthly,Yes,No,3,34,17.94,178.1,3,6.2,0,1.1,1
Basic,Monthly,Yes,No,0,17,124.54,225.5,0,2.0,0,0.88,1
Basic,Monthly,Yes,No,1,20,92.6,175.1,0,19.4,0,3.94,0
Basic,Monthly,Yes,No,2,13,175.74,192.5,2,13.0,0,4.75,0
Standard,Monthly,Yes,No,3,5,200.65,192.4,2,1.5,0,1.72,0
Basic,Annual,No,No,1,24,199.56,119.4,1,11.2,0,1.12,0
Standard,Monthly,No,No,2,25,157.2,134.3,0,11.5,0,1.68,0
Standard,Monthly,Yes,No,2,20,180.58,181.0,0,14.1,0,1.6,0
Standard,Monthly,No,No,3,37,138.61,190.8,0,21.4,0,5.69,0
Basic,Monthly,No,No,1,17,98.72,84.3,0,16.6,0,1.2,0
Basic,Monthly,No,No,0,8,7.08,134.4,0,9.1,2,1.41,1
Basic,Monthly,No,No,1,27,112.25,190.9,1,5.8,0,0.32,0
Standard,Annual,No,No,0,30,135.52,135.2,0,18.1,1,0.97,0
Standard,Annual,Yes,No,1,34,231.14,279.3,0,6.7,0,1.45,0
Basic,Monthly,No,No,0,16,111.6,197.7,2,15.6,0,0.59,1
Basic,Monthly,No,Yes,1,26,172.65,57.5,1,10.2,0,2.08,0
Standard,Monthly,No,No,2,30,119.18,134.7,0,18.0,0,3.02,0
Standard,Monthly,Yes,Yes,1,15,103.19,95.2,1,23.7,1,3.89,0
Pro,Monthly,Yes,No,1,17,170.53,207.9,1,27.3,1,4.22,0
Standard,Annual,No,No,0,8,162.41,117.1,1,31.8,0,0.97,0
Basic,Monthly,Yes,No,0,7,133.34,158.6,2,24.4,0,5.34,1
Basic,Monthly,Yes,No,4,44,174.48,157.2,0,19.9,0,2.7,0
Standard,Monthly,No,Yes,0,26,166.04,90.3,1,22.1,0,0.98,0
Basic,Annual,Yes,No,1,15,247.4,205.4,1,1.8,0,9.13,0
Pro,Annual,Yes,No,1,35,88.22,118.7,1,15.3,0,0.42,0
Standard,Monthly,No,No,2,32,105.37,198.3,2,14.1,1,2.86,1
Basic,Monthly,No,No,0,44,211.61,267.1,0,22.3,0,0.89,0
Pro,Monthly,Yes,No,4,19,193.71,110.6,0,9.1,0,6.76,0
Pro,Monthly,No,No,0,16,173.53,115.1,3,19.4,0,3.97,0
Basic,Monthly,No,No,2,17,137.36,183.7,0,21.4,0,1.4,0
Standard,Monthly,Yes,No,0,16,147.63,151.5,2,20.7,0,4.23,0
Standard,Annual,No,No,1,8,107.9,162.1,1,15.9,2,2.45,0
Standard,Monthly,No,No,2,11,163.99,132.7,0,9.7,0,5.23,0
Standard,Monthly,No,No,0,10,168.66,178.4,3,20.3,0,1.38,1
Pro,Annual,Yes,No,2,18,86.6,196.1,2,13.3,0,1.67,1
Basic,Monthly,Yes,Yes,0,8,173.11,188.4,1,10.0,0,2.66,0
Basic,Annual,Yes,No,0,13,142.06,124.5,0,17.8,1,2.55,0
Pro,Monthly,Yes,No,0,6,122.45,119.5,3,12.9,0,4.61,1
Standard,Monthly,Yes,No,1,33,65.3,147.1,2,9.7,0,2.11,1
Pro,Monthly,No,No,1,9,210.09,227.1,1,23.2,0,1.47,0
Basic,Monthly,No,No,1,15,134.94,233.3,2,12.6,0,1.41,1
Standard,Monthly,Yes,No,0,34,173.91,105.1,0,14.1,0,0.67,0
Standard,Monthly,No,Yes,1,16,153.24,126.0,1,7.6,0,5.8,1
Basic,Annual,No,No,0,22,92.5,185.0,1,10.9,0,0.63,0
Standard,Monthly,No,No,2,18,103.51,127.5,1,17.8,1,2.27,0
Basic,Monthly,No,No,2,11,181.05,158.0,0,11.8,0,1.97,0
Standard,Annual,No,Yes,0,16,60.07,169.9,0,10.7,0,0.49,1
Basic,Monthly,No,No,0,17,175.61,125.7,2,21.4,0,0.32,0
Pro,Annual,No,No,0,31,139.77,147.4,0,23.5,0,2.67,0
Standard,Monthly,Yes,No,1,28,138.29,150.1,0,7.4,0,3.1,0
Pro,Annual,Yes,Yes,4,8,117.52,140.0,1,3.6,0,3.11,0
Standard,Annual,Yes,No,0,10,131.7,158.6,1,21.0,0,1.41,0
Standard,Annual,No,No,1,40,191.94,99.9,3,10.5,0,1.12,0
Standard,Annual,No,Yes,0,10,54.9,224.1,0,7.0,1,1.19,1
Pro,Monthly,Yes,No,1,29,85.8,139.1,1,19.1,1,0.66,0
Standard,Annual,No,Yes,1,12,46.6,111.7,1,5.1,0,4.06,1
Standard,Monthly,No,No,2,14,172.4,119.4,1,12.6,0,2.11,0
Pro,Monthly,No,No,1,10,115.09,247.9,1,9.9,0,1.11,1
Pro,Monthly,No,No,2,14,236.54,165.4,0,7.2,1,4.0,0
Standard,Annual,Yes,Yes,0,14,210.99,222.8,0,15.8,0,2.53,0
Standard,Monthly,Yes,No,2,12,148.35,116.0,1,4.8,0,1.27,0
Standard,Monthly,No,No,0,16,147.93,159.5,1,11.6,0,0.98,0
Basic,Monthly,No,No,1,32,154.7,198.0,1,6.4,0,2.72,0
Pro,Monthly,No,No,1,19,128.43,181.1,1,20.2,0,2.84,0
Standard,Monthly,Yes,No,2,17,131.2,130.1,1,12.3,0,0.59,0
Basic,Monthly,Yes,No,1,25,88.9,195.8,0,26.6,2,6.75,1
Pro,Monthly,No,No,2,44,191.75,148.6,0,10.8,0,1.64,0
Pro,Monthly,Yes,No,1,10,90.61,86.2,2,7.5,0,2.01,0
Basic,Monthly,No,No,0,10,72.29,101.4,1,15.9,0,2.11,1
Basic,Annual,No,Yes,1,23,233.08,176.0,0,26.9,0,2.96,0
Basic,Monthly,Yes,No,1,11,150.2,133.5,0,14.4,1,0.49,1
Pro,Monthly,Yes,No,1,25,40.6,245.5,0,7.4,1,0.42,1
Pro,Monthly,No,Yes,1,13,70.41,144.0,1,17.1,1,1.18,1
Basic,Monthly,No,Yes,1,12,99.22,57.5,2,5.0,0,3.84,1
Basic,Monthly,No,No,1,51,138.82,188.8,1,8.6,0,1.37,0
Basic,Monthly,Yes,Yes,1,16,142.03,204.0,0,3.5,0,2.76,1
Pro,Annual,Yes,No,0,3,157.27,132.0,1,12.2,0,7.19,0
Basic,Monthly,No,No,0,14,140.5,163.6,1,19.8,0,1.98,0
Standard,Monthly,Yes,Yes,1,9,47.36,133.4,0,12.9,1,1.81,1
Pro,Monthly,No,No,0,8,193.39,184.6,1,17.6,0,3.27,0
Basic,Annual,No,Yes,0,15,127.9,120.2,0,8.5,0,0.72,0
Standard,Annual,Yes,No,0,13,182.98,146.0,0,10.3,0,1.27,0
Basic,Annual,No,Yes,1,13,127.16,90.7,0,11.7,0,0.55,0
Standard,Monthly,Yes,No,1,19,236.75,99.6,1,12.6,0,1.76,0
Standard,Monthly,Yes,Yes,2,23,79.43,188.1,1,7.7,0,1.46,1
Standard,Monthly,No,No,2,23,185.65,145.8,1,25.2,1,0.6,0
Pro,Monthly,No,Yes,0,25,164.07,165.6,2,24.2,0,2.32,0
Basic,Monthly,No,Yes,0,18,192.63,204.6,1,26.2,1,0.85,0
Standard,Monthly,Yes,Yes,3,12,153.07,143.8,2,8.4,0,0.89,0
Basic,Monthly,Yes,Yes,1,25,98.76,214.6,4,12.9,0,2.72,1
Standard,Monthly,Yes,Yes,1,16,237.63,181.2,0,15.3,1,4.4,0
Standard,Monthly,No,No,0,44,164.95,167.0,1,14.8,1,2.31,0
Pro,Monthly,No,No,3,9,195.75,164.9,1,23.0,0,1.03,0
Basic,Annual,No,No,0,37,122.84,157.5,0,10.7,0,0.55,0
Standard,Annual,Yes,Yes,1,11,93.0,135.9,2,25.9,0,3.06,0
Pro,Annual,No,No,0,18,65.12,151.3,1,16.4,1,1.77,0
Standard,Annual,Yes,No,0,19,95.61,144.0,0,17.0,0,1.21,0
Basic,Annual,No,No,1,35,101.73,102.2,0,5.2,0,8.17,1
Basic,Monthly,Yes,No,0,21,140.77,86.2,1,27.4,0,3.4,1
Basic,Monthly,No,No,3,11,134.9,180.2,1,7.5,0,1.37,0
Standard,Monthly,Yes,No,1,24,222.18,57.5,2,17.2,0,1.97,0
Standard,Monthly,No,No,1,17,150.62,192.6,0,37.2,1,0.54,0
Basic,Monthly,Yes,No,0,8,164.29,125.0,2,11.4,1,1.75,0
Pro,Monthly,Yes,No,3,23,184.45,170.3,1,16.1,1,1.37,0
Pro,Monthly,No,No,0,15,144.81,220.5,1,11.3,1,0.71,0
Basic,Monthly,No,No,0,36,157.06,131.3,0,18.6,0,1.08,0
Basic,Monthly,Yes,No,1,6,137.78,140.1,1,5.0,2,0.6,0
Basic,Monthly,Yes,Yes,3,13,228.2,139.6,1,21.7,0,0.24,0
Basic,Monthly,Yes,No,1,17,231.62,151.2,1,18.7,0,1.11,0
Basic,Monthly,No,No,1,16,174.38,129.5,2,23.9,1,3.14,1
Basic,Monthly,Yes,No,1,33,110.97,187.0,1,3.9,1,0.94,1
Standard,Annual,Yes,No,1,11,187.31,119.6,0,16.1,0,1.79,0
Standard,Annual,No,No,0,4,57.28,240.9,2,10.9,0,0.32,1
Standard,Annual,Yes,No,1,21,167.28,136.0,0,10.3,0,1.76,0
Basic,Monthly,No,No,1,21,56.24,71.8,1,9.5,0,1.88,0
Basic,Monthly,Yes,No,0,13,124.52,180.5,2,1.4,0,1.18,1
Basic,Monthly,Yes,No,1,25,19.71,196.3,1,19.8,1,1.4,1
Basic,Monthly,Yes,No,1,7,157.33,95.0,1,2.6,1,0.99,0
Standard,Monthly,Yes,Yes,0,23,206.15,176.5,0,14.5,0,0.55,0
Basic,Monthly,Yes,No,2,13,102.84,110.2,3,12.2,2,2.53,1
Standard,Monthly,Yes,Yes,0,20,189.26,162.8,0,34.3,1,2.27,0
Standard,Monthly,Yes,No,1,35,99.76,123.3,1,6.4,1,1.36,0
Basic,Monthly,Yes,No,0,13,140.7,65.1,1,5.8,0,0.43,0
Basic,Monthly,No,No,1,28,108.23,133.1,1,9.8,0,2.25,0
Standard,Monthly,No,No,2,14,144.86,97.4,1,9.8,0,2.15,0
Basic,Annual,Yes,Yes,0,12,138.29,129.0,1,9.4,0,1.12,0
Basic,Monthly,No,Yes,0,23,137.59,257.1,3,5.0,0,0.26,1
Standard,Annual,No,No,1,4,127.41,157.9,1,13.0,0,9.77,1
Standard,Annual,Yes,Yes,3,19,98.74,96.6,3,12.8,0,1.53,0
Basic,Monthly,No,No,0,24,93.14,168.8,1,13.0,0,0.6,0
Basic,Annual,No,No,1,31,102.74,155.2,1,3.4,0,3.39,0
Standard,Annual,Yes,No,2,38,108.9,180.3,2,14.1,1,2.96,0
Pro,Monthly,No,No,2,19,129.14,140.8,2,18.7,0,0.41,0
Standard,Monthly,No,No,1,14,129.26,181.1,0,10.5,0,0.86,0
Standard,Monthly,Yes,Yes,0,35,74.72,150.5,2,14.0,0,0.94,1
Basic,Annual,No,No,1,14,90.91,207.8,0,13.4,0,1.62,1
Pro,Annual,Yes,Yes,1,34,196.48,240.6,2,19.4,0,0.64,0
Pro,Annual,No,No,2,12,115.1,154.1,0,13.6,0,1.54,0
Basic,Monthly,No,No,1,5,114.85,275.0,0,19.0,0,3.87,1
Basic,Annual,No,No,0,15,157.72,147.4,0,6.8,1,0.8,0
Standard,Annual,No,No,2,30,203.39,125.8,0,13.4,1,1.38,0
Standard,Monthly,No,No,0,50,155.74,186.5,0,12.9,0,1.59,0
Pro,Monthly,Yes,No,2,14,184.21,159.6,0,28.5,0,1.25,0
Standard,Monthly,Yes,No,2,15,128.55,192.3,2,4.3,1,1.38,1
Basic,Monthly,Yes,No,2,10,95.31,195.3,1,10.2,0,1.98,0
Basic,Monthly,Yes,Yes,2,10,84.49,176.5,2,21.1,0,2.88,1
Pro,Monthly,Yes,Yes,2,13,188.62,216.8,1,21.1,1,0.98,0
Basic,Monthly,No,Yes,1,18,210.09,136.8,1,13.1,0,1.01,0
