plan_type,contract_type,autopay,is_promo_user,add_on_count,tenure_months,monthly_usage_gb,avg_latency_ms,support_tickets_30d,discount_pct,payment_failures_90d,downtime_hours_30d,churned
Standard,Monthly,Yes,No,1,36,174.29,180.5,0,8.7,0,1.16,0
Standard,Monthly,Yes,No,0,16,187.25,181.2,1,29.7,1,0.8,0
Basic,Monthly,Yes,No,1,37,127.76,148.5,0,8.9,0,1.14,0
Pro,Monthly,No,Yes,0,35,164.56,89.2,0,14.9,0,0.13,0
Basic,Annual,Yes,Yes,0,15,79.46,70.0,0,28.8,1,1.47,0
Pro,Monthly,Yes,Yes,2,46,134.49,112.5,0,10.1,0,2.84,0
Basic,Annual,No,No,1,21,107.83,147.2,1,29.9,0,1.71,0
Standard,Monthly,Yes,No,0,29,174.83,156.5,0,20.2,0,1.76,0
Standard,Monthly,Yes,No,1,50,129.5,183.4,0,31.5,0,0.71,0
Basic,Monthly,Yes,No,0,13,62.87,95.2,0,8.8,0,0.22,0
Basic,Annual,Yes,No,0,5,86.99,131.7,0,7.3,0,1.6,1
Standard,Monthly,Yes,No,1,20,163.28,113.6,0,16.2,0,0.28,0
Basic,Annual,Yes,Yes,1,4,145.25,184.5,0,10.5,0,1.0,0
Basic,Annual,No,Yes,0,10,199.62,149.0,0,15.3,2,2.92,1
Standard,Monthly,Yes,Yes,1,13,109.64,109.0,0,20.3,0,0.4,0
Basic,Monthly,Yes,No,0,11,133.25,123.4,0,13.4,0,1.23,0
Basic,Monthly,Yes,No,1,6,94.96,115.9,0,19.3,0,1.97,1
Standard,Annual,Yes,No,1,37,25.15,107.8,2,17.7,0,2.7,0
Standard,Annual,No,Yes,0,29,81.45,114.4,3,24.5,1,1.96,0
Standard,Monthly,Yes,No,2,29,132.82,74.2,1,18.6,0,0.81,0
Basic,Annual,Yes,No,1,29,156.7,100.2,1,9.4,1,0.99,0
Standard,Monthly,No,No,1,16,171.73,130.6,2,21.7,0,2.89,1
Standard,Monthly,No,No,2,31,176.39,117.6,0,7.1,0,0.54,0
Standard,Annual,No,Yes,2,16,106.55,139.9,1,21.9,0,2.14,0
Standard,Annual,No,Yes,0,15,81.98,183.7,0,13.8,0,0.38,1
Standard,Monthly,Yes,Yes,0,44,137.98,168.8,0,19.7,0,5.25,0
Standard,Monthly,No,No,0,35,216.91,99.5,1,31.7,0,0.4,0
Standard,Monthly,Yes,No,2,10,192.93,114.8,1,13.6,1,2.04,0
Standard,Annual,No,No,0,27,75.99,159.1,1,13.7,0,0.69,1
Standard,Annual,No,Yes,3,12,208.84,120.8,0,17.6,0,0.24,0
Basic,Monthly,No,No,0,2,44.2,73.6,0,3.7,0,3.96,1
Basic,Monthly,No,No,2,27,135.38,103.8,0,19.4,0,0.08,0
Standard,Monthly,Yes,No,0,21,126.55,113.2,0,11.3,0,1.93,0
Basic,Monthly,No,No,3,31,126.99,94.2,0,21.3,0,2.56,0
Standard,Monthly,No,No,0,21,167.25,175.0,3,0.1,0,0.18,0
Basic,Monthly,Yes,No,2,14,183.11,80.1,1,9.5,0,3.51,0
Standard,Monthly,No,No,0,8,88.14,183.8,1,8.1,1,1.75,1
Basic,Monthly,No,No,1,20,159.27,139.9,0,22.7,1,1.92,0
Standard,Annual,Yes,Yes,1,20,116.36,118.1,0,16.1,1,0.55,0
Standard,Monthly,Yes,No,1,12,165.42,248.0,3,4.5,0,5.45,1
Basic,Monthly,Yes,No,0,27,108.38,71.8,0,11.5,0,0.31,0
Pro,Monthly,No,No,0,20,126.23,89.1,2,22.0,0,3.6,0
Basic,Annual,Yes,No,1,22,165.38,102.4,0,18.6,1,1.06,0
Basic,Monthly,Yes,No,0,19,94.73,99.4,0,11.2,1,1.68,0
Pro,Monthly,Yes,Yes,1,18,144.62,101.3,0,11.5,0,2.19,0
Basic,Monthly,Yes,Yes,2,18,204.22,123.7,0,12.6,1,1.83,0
Standard,Monthly,Yes,No,1,3,205.76,162.0,1,12.3,0,3.54,1
Pro,Monthly,No,Yes,2,24,133.99,178.4,1,3.3,0,0.33,0
Basic,Monthly,Yes,No,1,24,102.76,150.3,2,17.4,1,2.56,1
Standard,Annual,Yes,Yes,2,12,82.95,183.3,0,8.7,0,1.12,1
Basic,Annual,Yes,No,1,19,139.77,174.4,2,29.9,0,1.81,0
Pro,Annual,No,No,0,27,152.49,207.7,1,6.2,1,1.46,0
Standard,Monthly,Yes,No,0,42,89.24,79.3,1,1.1,0,1.29,0
Standard,Monthly,Yes,No,1,25,135.22,110.4,1,4.4,0,0.86,0
Pro,Monthly,Yes,No,0,21,216.63,231.4,1,10.8,0,0.68,0
Basic,Annual,Yes,No,2,37,150.96,138.4,0,19.0,0,1.32,0
Standard,Monthly,Yes,No,1,52,173.45,139.9,0,11.5,0,1.85,0
Basic,Monthly,Yes,No,0,7,130.85,145.3,1,29.5,1,0.86,0
Basic,Monthly,Yes,No,1,11,161.06,127.5,0,3.1,1,0.71,0
Standard,Monthly,No,No,1,8,85.26,155.1,0,7.4,0,4.31,1
Basic,Monthly,Yes,Yes,1,11,173.41,156.3,0,9.8,0,0.48,0
Basic,Monthly,No,No,0,19,183.5,169.2,1,9.9,0,1.88,1
Basic,Monthly,No,No,0,39,95.38,55.8,0,10.0,0,0.99,0
Standard,Monthly,Yes,No,1,12,83.06,155.7,0,2.5,0,1.73,0
Basic,Monthly,No,No,0,6,138.05,90.8,0,9.4,0,0.21,0
Basic,Monthly,Yes,No,3,12,223.75,135.9,1,15.1,0,0.72,0
Pro,Monthly,No,No,0,37,154.26,110.0,0,11.9,1,0.78,0
Basic,Monthly,Yes,Yes,1,15,174.17,114.8,0,28.7,0,1.73,0
Basic,Monthly,No,No,2,29,151.98,162.9,0,8.7,0,0.46,0
Standard,Monthly,No,No,0,24,114.76,97.3,0,10.4,0,1.52,1
Basic,Monthly,Yes,Yes,2,8,182.4,70.3,2,15.6,0,0.44,0
Pro,Annual,No,No,0,12,128.48,186.8,2,1.2,0,0.47,1
Pro,Monthly,No,Yes,1,47,114.87,164.4,1,9.2,0,3.7,1
Basic,Monthly,No,No,1,25,116.08,79.7,1,28.8,0,0.21,0
Standard,Annual,No,No,0,27,82.16,154.3,1,8.2,0,0.85,0
Pro,Monthly,Yes,No,0,37,145.38,195.0,0,14.3,0,1.92,0
Standard,Monthly,No,No,0,13,151.77,129.8,1,16.4,1,1.28,0
Pro,Monthly,Yes,No,1,19,105.9,69.8,1,10.1,0,0.8,0
Standard,Monthly,Yes,No,1,46,184.74,50.0,0,27.4,0,1.09,0
Standard,Monthly,No,Yes,2,24,147.36,168.0,0,12.6,1,2.87,0
Standard,Monthly,Yes,Yes,0,7,140.24,94.3,0,31.9,0,0.92,0
Standard,Monthly,Yes,No,2,20,144.51,92.0,1,13.5,0,1.23,0
Basic,Annual,Yes,No,2,13,130.89,105.3,1,33.7,0,1.65,1
Basic,Monthly,No,No,2,13,102.91,60.3,1,14.9,1,0.24,1
Basic,Monthly,Yes,No,0,23,101.77,103.3,0,4.3,0,1.84,0
Basic,Annual,Yes,No,1,38,131.63,170.9,1,8.5,0,0.98,0
Standard,Annual,Yes,No,0,20,90.06,182.6,0,7.9,0,0.22,0
Standard,Annual,Yes,No,2,10,163.72,50.0,0,7.7,1,0.52,0
Standard,Annual,Yes,Yes,1,10,69.16,163.7,0,17.3,0,0.31,0
Basic,Monthly,Yes,No,0,7,42.96,197.8,0,1.2,0,1.76,1
Standard,Monthly,No,No,1,13,146.24,79.8,1,12.0,0,1.91,0
Basic,Monthly,Yes,No,2,21,198.75,109.2,0,17.0,1,0.45,0
Basic,Monthly,Yes,No,1,37,23.93,162.3,1,30.5,0,2.92,1
Standard,Annual,No,Yes,1,23,177.73,122.8,1,9.5,0,1.14,0
Standard,Monthly,No,No,1,12,158.66,160.3,0,5.3,1,0.69,0
Standard,Monthly,Yes,No,1,10,124.32,76.8,0,8.6,0,0.82,0
Standard,Monthly,Yes,No,1,42,81.51,123.8,0,5.4,0,1.37,0
Basic,Monthly,Yes,No,1,20,128.04,51.0,1,17.2,1,2.05,0
Standard,Monthly,Yes,Yes,3,23,128.32,123.6,0,15.7,0,1.85,0
Standard,Monthly,No,No,2,9,220.16,137.7,2,13.0,0,3.04,0
Standard,Annual,Yes,No,4,63,139.72,142.3,0,10.3,0,0.69,0
Basic,Annual,Yes,Yes,0,11,156.58,181.3,0,26.9,0,2.73,1
Basic,Monthly,Yes,No,0,3,106.16,105.5,0,15.4,0,2.55,1
Standard,Monthly,Yes,Yes,0,20,113.45,141.3,1,4.4,0,0.98,0
Basic,Annual,Yes,Yes,0,37,182.62,166.7,0,10.4,0,0.64,0
Standard,Monthly,Yes,No,1,17,53.73,161.2,1,32.9,1,1.12,0
Pro,Monthly,Yes,No,1,24,64.61,137.6,1,20.0,0,2.38,0
Pro,Annual,No,Yes,2,23,296.38,108.5,0,5.6,0,1.74,0
Basic,Annual,No,No,0,40,157.91,117.8,1,16.3,0,1.28,0
Pro,Monthly,No,No,0,18,143.14,158.0,0,19.4,0,0.59,0
Standard,Monthly,Yes,No,1,14,53.64,109.9,2,13.7,1,3.38,1
Pro,Annual,Yes,Yes,1,22,90.51,181.4,0,22.9,0,1.87,0
Basic,Annual,Yes,No,2,34,174.93,84.6,4,9.2,0,0.96,0
Standard,Monthly,Yes,No,0,29,55.69,155.0,0,31.5,0,2.94,1
Basic,Monthly,Yes,No,0,18,160.32,140.3,0,18.7,0,1.15,0
Basic,Monthly,No,No,1,26,167.57,121.9,0,24.3,0,0.18,0
Basic,Annual,No,No,1,31,168.17,132.7,1,7.4,0,2.94,0
Pro,Annual,No,No,0,6,111.95,99.1,0,12.5,0,0.79,0
Standard,Monthly,No,Yes,2,39,137.23,144.2,0,5.3,0,2.53,0
Basic,Monthly,Yes,Yes,0,21,93.64,123.6,0,8.5,0,0.89,0
Standard,Monthly,No,No,1,27,184.94,165.2,1,17.0,0,3.07,0
Basic,Monthly,No,No,0,17,78.66,134.3,1,18.0,0,1.39,1
Basic,Monthly,Yes,No,1,18,33.54,201.1,0,13.3,0,1.64,1
Standard,Monthly,Yes,No,3,7,175.65,81.4,0,14.7,1,4.51,0
Basic,Monthly,No,No,0,10,82.96,96.1,0,7.5,0,1.01,1
Basic,Monthly,Yes,Yes,1,33,99.79,106.7,0,26.5,1,2.04,0
Standard,Monthly,No,Yes,0,22,85.42,170.2,0,12.3,0,1.62,1
Basic,Monthly,Yes,No,1,28,154.47,144.3,1,30.0,0,0.9,0
Basic,Annual,Yes,No,1,63,115.16,89.1,3,24.4,0,1.2,0
Pro,Monthly,No,No,2,17,102.88,64.6,4,9.8,0,0.74,0
Basic,Monthly,Yes,No,0,27,103.58,75.1,0,17.0,0,0.37,0
Standard,Monthly,No,Yes,1,9,97.51,143.9,0,3.6,0,0.7,1
Basic,Monthly,Yes,No,2,10,155.42,137.7,2,16.8,1,3.02,1
Standard,Monthly,Yes,Yes,2,9,164.44,154.4,3,7.8,1,1.97,1
Standard,Monthly,Yes,No,1,4,199.96,164.2,0,7.3,1,0.09,0
Pro,Monthly,No,No,0,4,96.78,138.4,1,18.4,0,2.33,1
Pro,Monthly,No,No,3,31,39.09,112.2,4,23.0,1,1.8,1
Standard,Monthly,No,No,0,17,1.0,150.4,0,20.4,0,1.6,1
Basic,Annual,Yes,No,0,32,62.95,179.4,0,16.3,0,0.8,1
Basic,Monthly,Yes,Yes,1,10,157.63,204.5,1,15.8,0,4.17,1
Standard,Monthly,Yes,Yes,2,33,156.39,106.0,0,7.0,0,1.52,0
Basic,Monthly,Yes,No,0,15,42.81,213.5,0,16.1,0,0.39,0
Standard,Annual,No,No,1,24,38.1,122.5,3,24.7,0,1.68,1
Standard,Monthly,No,No,3,17,89.03,134.8,1,3.9,0,1.27,1
Basic,Annual,Yes,Yes,0,6,184.71,126.7,0,8.1,0,0.3,0
Standard,Annual,Yes,No,1,40,98.93,106.7,0,28.4,0,2.07,0
Pro,Monthly,No,No,2,22,127.4,175.2,0,12.9,0,0.8,0
Basic,Annual,No,No,3,6,170.6,104.4,0,10.1,1,0.59,0
Standard,Monthly,No,No,0,16,190.85,145.7,1,13.8,0,1.16,0
Pro,Monthly,No,Yes,0,22,128.7,113.5,2,15.5,0,0.48,0
Basic,Monthly,No,No,0,16,91.67,90.0,0,7.6,0,1.27,0
Pro,Monthly,Yes,Yes,2,32,156.72,142.7,2,8.9,0,1.04,0
Standard,Monthly,Yes,No,4,7,189.85,106.6,0,16.0,1,1.45,0
Standard,Monthly,No,No,2,14,148.79,223.3,1,9.8,1,1.14,1
Basic,Monthly,No,No,3,32,73.45,142.2,1,16.6,1,0.31,1
Basic,Annual,Yes,No,2,23,164.14,127.5,0,20.5,0,1.11,0
Basic,Monthly,No,No,1,12,148.4,215.8,0,11.6,1,1.14,1
Standard,Annual,Yes,No,0,37,235.57,86.0,0,26.7,0,0.26,0
Pro,Monthly,Yes,No,1,9,175.82,251.7,1,6.9,0,1.68,1
Basic,Monthly,No,No,3,14,147.1,112.3,2,22.2,0,1.06,1
Standard,Monthly,Yes,No,0,12,73.36,124.4,1,26.3,0,0.76,1
Standard,Annual,Yes,No,3,12,118.69,139.3,1,12.1,0,1.58,0
Pro,Monthly,No,No,3,12,124.25,162.1,1,14.8,0,0.4,0
Standard,Monthly,No,No,1,27,146.86,152.0,0,13.3,0,5.04,1
Pro,Monthly,No,No,2,46,98.8,128.0,0,24.7,0,0.99,0
Standard,Monthly,No,No,1,7,142.05,134.7,3,28.7,0,1.54,1
Standard,Monthly,Yes,No,1,28,219.4,116.0,0,22.0,0,1.05,0
Basic,Monthly,Yes,Yes,3,37,140.59,151.4,2,9.8,0,0.95,1
Pro,Annual,Yes,No,1,21,181.38,112.7,1,7.3,0,0.17,0
Standard,Monthly,No,No,1,15,71.88,180.2,1,6.1,0,1.11,1
Basic,Monthly,No,No,1,7,160.24,86.8,0,25.5,0,0.62,0
Pro,Annual,No,No,1,16,116.54,92.2,0,23.7,0,1.01,0
Basic,Monthly,Yes,No,0,17,99.21,154.2,1,7.7,0,3.88,1
Basic,Annual,Yes,No,0,33,102.36,58.0,2,4.2,0,0.35,0
Standard,Annual,Yes,No,3,62,57.0,102.9,0,34.8,0,0.4,0
Standard,Annual,Yes,No,3,34,151.86,130.1,1,8.9,0,1.46,0
Standard,Annual,Yes,No,0,21,99.48,121.0,3,34.4,1,1.6,0
Standard,Annual,No,No,1,33,121.68,139.9,0,9.6,0,0.58,0
Standard,Annual,No,Yes,1,37,103.15,195.8,2,15.3,0,1.2,1
Pro,Monthly,Yes,No,1,21,129.07,100.4,1,3.0,0,1.18,0
Basic,Monthly,No,No,2,18,162.72,188.5,2,17.4,0,3.2,1
Basic,Annual,No,No,1,36,62.44,115.2,0,3.8,0,0.98,0
Standard,Monthly,Yes,No,2,17,84.04,156.7,3,26.3,0,0.85,1
Pro,Monthly,Yes,Yes,1,5,45.71,99.0,2,8.4,0,0.94,1
Basic,Monthly,Yes,No,0,10,184.1,163.0,1,11.9,0,2.58,1
Standard,Monthly,No,No,2,17,64.27,136.0,0,10.7,0,0.32,1
Basic,Monthly,No,Yes,2,4,57.56,166.2,0,9.0,0,2.39,1
Pro,Annual,Yes,No,0,27,152.96,149.8,1,22.6,0,1.28,0
Pro,Annual,Yes,No,0,23,182.24,74.8,1,14.2,0,1.78,0
Standard,Monthly,Yes,No,2,16,64.45,138.6,0,27.8,0,4.91,1
Standard,Annual,No,Yes,0,10,88.86,170.9,0,23.1,0,1.0,0
Pro,Monthly,Yes,No,3,15,117.61,83.1,0,8.1,0,2.12,0
Standard,Monthly,No,No,0,19,62.45,91.9,0,16.5,0,3.13,1
Standard,Monthly,No,No,2,25,122.91,98.1,0,9.3,0,1.68,0
Basic,Monthly,No,No,1,72,98.38,134.0,2,13.3,1,1.81,1
Standard,Monthly,Yes,Yes,3,7,222.05,199.7,0,11.5,1,2.17,0
Basic,Monthly,Yes,Yes,2,45,140.34,147.4,1,15.9,0,0.77,1
Standard,Monthly,Yes,No,0,18,134.79,70.3,0,25.3,0,3.58,0
Basic,Monthly,Yes,No,0,22,122.48,118.0,0,14.7,0,1.51,1
Pro,Monthly,Yes,Yes,2,7,221.93,139.4,0,26.7,1,0.46,0
Basic,Monthly,Yes,No,1,14,37.96,91.3,0,20.8,0,2.41,1
Basic,Annual,No,No,1,15,136.78,101.5,0,25.1,0,1.6,0
Basic,Monthly,Yes,No,4,2,92.82,95.8,0,7.8,0,2.36,1
Basic,Annual,Yes,Yes,1,9,186.75,104.0,0,8.3,0,0.71,0
Basic,Monthly,No,Yes,1,26,182.95,155.3,0,6.7,0,3.95,1
Basic,Monthly,No,No,1,22,159.08,50.0,0,18.7,0,2.35,0
Basic,Monthly,No,No,2,27,73.15,164.8,1,21.5,0,1.1,1
Standard,Monthly,No,No,2,38,145.68,120.1,1,14.0,0,3.33,0
Standard,Monthly,Yes,No,4,17,146.62,159.3,0,16.0,0,1.4,0
Basic,Annual,No,No,0,11,205.87,97.8,0,13.9,0,0.27,0
Pro,Annual,Yes,No,1,25,159.66,115.6,1,15.1,0,4.58,0
Standard,Monthly,Yes,No,5,21,90.17,116.7,1,2.5,1,1.08,0
Basic,Annual,Yes,No,2,4,142.77,170.7,1,9.8,2,3.18,0
Basic,Monthly,Yes,No,2,24,58.36,106.6,0,15.5,1,0.74,1
Standard,Monthly,Yes,Yes,0,11,227.09,176.5,0,20.3,0,0.24,0
Basic,Monthly,Yes,No,1,8,60.85,186.9,1,10.4,1,2.07,1
Standard,Annual,Yes,No,2,19,72.32,167.2,0,33.4,0,2.79,0
Standard,Monthly,Yes,No,0,10,154.41,114.4,0,25.1,0,1.2,0
Basic,Monthly,Yes,No,0,11,136.01,140.7,1,27.7,0,0.54,0
Basic,Monthly,No,No,1,19,77.21,151.7,0,3.4,1,1.19,1
Basic,Annual,No,No,4,5,153.04,159.6,1,27.1,0,0.72,0
Standard,Monthly,No,No,0,18,237.44,96.4,1,30.9,0,0.64,0
Basic,Monthly,No,No,0,33,123.51,168.5,2,2.8,0,0.64,0
Pro,Annual,No,No,0,14,127.32,63.0,0,10.3,0,0.93,0
Basic,Monthly,Yes,No,1,23,188.56,82.4,0,23.8,0,2.18,0
Standard,Annual,No,Yes,2,6,157.85,147.2,2,31.3,1,0.89,0
Pro,Monthly,Yes,No,0,20,195.57,121.3,1,4.0,0,2.17,0
Standard,Monthly,No,No,1,20,201.33,122.7,1,13.4,0,0.68,0
Basic,Monthly,Yes,No,2,14,147.83,88.1,1,23.1,0,0.65,0
Standard,Annual,Yes,No,2,20,85.43,50.0,0,6.4,0,0.76,0
Basic,Monthly,Yes,Yes,2,15,91.83,194.4,0,23.0,0,0.51,0
Basic,Monthly,No,No,1,12,161.93,109.0,2,12.1,0,0.27,1
Standard,Monthly,No,No,2,27,148.34,150.7,1,35.8,1,0.78,0
Basic,Annual,Yes,Yes,1,18,165.6,141.3,0,8.8,1,0.68,0
Basic,Monthly,No,No,1,26,144.35,100.1,3,7.0,0,0.52,0
Basic,Monthly,No,No,2,6,93.54,175.6,0,16.6,1,2.52,1
Basic,Annual,Yes,No,2,29,172.28,179.3,1,31.0,1,1.83,0
Basic,Monthly,Yes,No,0,11,127.79,119.9,0,21.1,0,1.98,1
Pro,Monthly,Yes,No,1,11,174.67,122.2,0,1.3,0,1.23,0
Basic,Monthly,Yes,No,1,36,199.4,145.7,0,11.4,0,1.08,0
Standard,Annual,No,No,0,16,96.91,70.9,2,18.3,0,2.26,0
Basic,Monthly,No,No,2,19,115.81,103.9,1,11.2,0,1.75,1
Standard,Monthly,No,No,0,11,140.48,173.2,0,31.9,0,2.2,0
Standard,Annual,No,No,2,12,79.67,175.1,1,19.8,0,0.75,1
Basic,Monthly,No,No,3,5,247.78,150.3,0,19.6,0,0.15,0
Basic,Monthly,No,No,0,43,205.59,134.4,0,5.6,1,2.11,0
Pro,Annual,No,No,0,36,146.78,131.1,1,21.6,0,2.1,0
Pro,Monthly,Yes,No,0,15,126.23,185.4,0,30.9,0,1.08,0
Basic,Monthly,Yes,No,1,7,129.99,155.0,0,30.3,0,1.69,0
Standard,Monthly,No,Yes,1,17,199.22,145.1,2,11.1,1,1.56,0
Basic,Annual,Yes,No,0,16,141.73,143.9,0,12.1,0,0.47,0
Basic,Annual,Yes,Yes,0,34,190.86,153.5,1,34.7,0,1.44,0
Standard,Monthly,No,No,1,35,99.66,113.9,0,7.1,1,2.29,0
Standard,Annual,Yes,No,1,38,85.22,133.2,2,15.4,0,2.02,1
Standard,Annual,No,No,0,34,183.62,144.0,1,19.2,1,1.41,0
Basic,Monthly,No,Yes,1,29,63.11,93.9,2,16.0,0,1.58,1
Basic,Monthly,Yes,No,1,40,153.5,145.9,0,14.2,0,4.7,1
Standard,Monthly,Yes,No,1,23,172.44,202.8,2,11.2,0,5.14,1
Basic,Monthly,No,No,2,20,189.85,112.7,1,20.7,0,0.58,0
Basic,Annual,Yes,Yes,4,11,137.54,108.3,1,34.7,0,0.23,0
Basic,Monthly,Yes,Yes,0,31,124.97,77.9,0,3.1,1,2.52,0
Basic,Monthly,Yes,No,0,22,152.43,115.7,1,9.8,0,1.25,1
Basic,Annual,No,No,1,37,113.59,138.0,3,11.8,1,3.49,1
Standard,Monthly,No,No,0,26,208.83,172.0,0,8.9,0,0.45,0
Standard,Monthly,No,No,3,15,71.17,171.3,1,11.5,0,1.32,1
Standard,Monthly,Yes,Yes,5,13,159.2,122.6,1,4.7,1,3.65,0
Basic,Monthly,Yes,No,0,8,177.81,50.0,1,10.0,0,1.43,0
Basic,Monthly,Yes,No,1,28,54.66,103.5,1,15.1,1,0.38,1
Standard,Annual,Yes,Yes,1,16,180.15,93.1,0,30.2,0,1.28,0
Standard,Monthly,No,No,2,12,95.55,148.8,0,26.1,1,0.5,1
Basic,Monthly,Yes,Yes,0,9,195.35,109.6,0,5.7,0,1.27,0
Basic,Monthly,No,No,1,6,119.67,140.5,2,39.4,0,0.5,0
Standard,Annual,Yes,No,1,15,49.2,75.5,1,17.9,0,2.94,1
Basic,Monthly,No,Yes,3,7,207.56,180.8,2,9.2,0,0.32,1
Standard,Monthly,No,No,2,9,123.81,162.5,2,5.4,0,1.73,1
Basic,Monthly,Yes,No,1,9,136.95,136.8,0,13.4,0,1.52,0
Standard,Monthly,No,Yes,0,7,159.4,113.6,0,10.6,0,2.34,0
Standard,Monthly,No,No,0,23,78.58,146.4,1,3.8,0,3.42,1
Standard,Monthly,Yes,Yes,0,37,95.96,170.7,1,19.2,0,0.96,0
Basic,Monthly,Yes,No,1,19,100.3,77.6,0,7.5,0,4.4,1
Basic,Monthly,No,No,1,48,214.0,55.9,0,23.4,0,1.97,0
Standard,Monthly,No,Yes,1,14,187.86,79.9,0,26.1,0,1.71,0
Basic,Monthly,No,No,1,22,169.14,50.0,0,0.7,0,3.27,0
Basic,Monthly,Yes,Yes,3,31,119.55,129.0,0,20.0,0,0.39,0
Standard,Monthly,Yes,No,3,30,115.63,177.9,1,15.2,1,3.23,0
Standard,Monthly,Yes,No,2,18,168.81,171.8,1,16.2,0,1.77,0
Standard,Monthly,Yes,No,1,16,59.45,149.6,1,16.4,0,1.46,1
Basic,Monthly,No,No,2,39,156.12,94.0,0,29.6,1,1.55,0
Standard,Monthly,No,Yes,1,12,171.43,153.0,1,16.9,1,0.57,0
Pro,Monthly,Yes,No,3,16,129.98,85.2,0,12.1,0,3.72,0
